"SITE_NO","RSQA_STUDY","STATION_NM","COUNTY_NM","STATE_CD","STATE_NM","STATE_ABBREV","RECORD_NO","AGENCY_CD","MEDIUM_CD_DESC","MEDIUM_CD_DEF","SAMPLE_START_DT","SAMPLE_START_TZ_DESC","SAMPLE_END_DT","SAMPLE_END_TZ_DESC","SAMPLE_START_LOCAL_DISP_FM","SAMPLE_START_UTC_DISP_FM","SAMPLE_END_LOCAL_DISP_FM","SAMPLE_END_UTC_DISP_FM","LOCAL_TZ_DESC","TM_DATUM_RLBLTY_CD","HYD_COND_CD","SAMP_TYPE_CD","HYD_EVENT_CD","TU_1_NM","BODY_PART_NM","METH_CD","METH_NM","RESULT_VA","RESULT_SG","RESULT_RD","REMARK_CD","RPT_LEV_VA","RPT_LEV_SG","RPT_LEV_CD","RPT_LEV_NM","PARM_CD","PARM_SEQ_GRP_NM","PARM_SEQ_GRP_DS","PARM_NM","LOAD_DT"
"01170095       ","NESQA","GREEN RIVER AT STEWARTVILLE, MA","Franklin County","25","Massachusetts","MA","01700188","USGS ","Plant tissue","Any type of non-animal tissue that comprises either whole orparts of plants, aquatic or non-aquatic.","10/6/2016 2:30:00 PM","Eastern Standard Time","","Eastern Standard Time","201610061030","201610061430","","","Eastern Standard Time","K","X","9","X","Taxon Unknown                      ","Unknown","00050","Plant pigments, sonication & 445","4.2223141","8","3","","0.1","1","MRL   ","Minimum reporting level","62359","Biological","Biological","Pheophytin a, periphyton","7/19/2019 10:55:00 AM"
"01170095       ","NESQA","GREEN RIVER AT STEWARTVILLE, MA","Franklin County","25","Massachusetts","MA","01700258","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","10/6/2016 12:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201610060801","201610061201","","","Eastern Standard Time","K","X","9","X","Semotilus                          ","Organism, whole","-9999","Null Value","1","1","2","","","","-9999 ","Null value - no value specified.","62342","Biological","Biological","Specimen weight, average","7/19/2019 10:55:00 AM"
"01193500       ","NESQA","SALMON RIVER NEAR EAST HAMPTON, CT","Middlesex County","09","Connecticut","CT","01601723","USGS ","Plant tissue","Any type of non-animal tissue that comprises either whole orparts of plants, aquatic or non-aquatic.","8/19/2016 3:00:00 PM","Eastern Standard Time","","Eastern Standard Time","201608191000","201608191500","","","Eastern Standard Time","K","4","9","9","Taxon Unknown                      ","Unknown","GRV15","Biomass, periphyton (NWQL)","301.8","4","4","","0.1","1","MRL   ","Minimum reporting level","00573","Biological","Biological","Biomass, periphyton, dry wt","7/19/2019 10:51:00 AM"
"01193500       ","NESQA","SALMON RIVER NEAR EAST HAMPTON, CT","Middlesex County","09","Connecticut","CT","01602006","USGS ","Plant tissue","Any type of non-animal tissue that comprises either whole orparts of plants, aquatic or non-aquatic.","8/5/2016 2:00:00 PM","Eastern Standard Time","","Eastern Standard Time","201608050900","201608051400","","","Eastern Standard Time","K","9","9","9","Taxon Unknown                      ","Unknown","GRV15","Biomass, periphyton (NWQL)","11.7","3","3","","0.1","1","MRL   ","Minimum reporting level","49954","Biological","Biological","Periphyton biomass","7/19/2019 10:53:00 AM"
"01170095       ","NESQA","GREEN RIVER AT STEWARTVILLE, MA","Franklin County","25","Massachusetts","MA","01700258","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","10/6/2016 12:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201610060801","201610061201","","","Eastern Standard Time","K","X","9","X","Semotilus                          ","Organism, whole","-9999","Null Value","0.2","1","1","","","","-9999 ","Null value - no value specified.","72141","Biological","Biological","Organism length, std dev","7/19/2019 10:55:00 AM"
"01189000       ","NESQA","PEQUABUCK R AT FORESTVILLE, CT.","Hartford County","09","Connecticut","CT","01601799","USGS ","Plant tissue","Any type of non-animal tissue that comprises either whole orparts of plants, aquatic or non-aquatic.","9/12/2016 3:30:00 PM","Eastern Standard Time","","Eastern Standard Time","201609121030","201609121530","","","Eastern Standard Time","K","X","9","X","Taxon Unknown                      ","Unknown","ALGOR","Computation by NWIS algorithm","134.5","4","3","","","","-9999 ","Null value - no value specified.","70950","Biological","Biological","Biomass/Chlrphyl ratio, peri","7/19/2019 10:51:00 AM"
"01170095       ","NESQA","GREEN RIVER AT STEWARTVILLE, MA","Franklin County","25","Massachusetts","MA","01700188","USGS ","Plant tissue","Any type of non-animal tissue that comprises either whole orparts of plants, aquatic or non-aquatic.","10/6/2016 2:30:00 PM","Eastern Standard Time","","Eastern Standard Time","201610061030","201610061430","","","Eastern Standard Time","K","X","9","X","Taxon Unknown                      ","Unknown","GRV15","Biomass, periphyton (NWQL)","261.8","4","4","","0.1","1","MRL   ","Minimum reporting level","00572","Biological","Biological","Biomass, periphyton, ash wt","7/19/2019 10:55:00 AM"
"01362200       ","NESQA","ESOPUS CREEK AT ALLABEN NY","Ulster County","36","New York","NY","01602976","USGS ","Plant tissue","Any type of non-animal tissue that comprises either whole orparts of plants, aquatic or non-aquatic.","8/4/2016 2:00:00 PM","Eastern Standard Time","","Eastern Standard Time","201608040900","201608041400","","","Eastern Standard Time","K","9","9","9","Taxon Unknown                      ","Unknown","GRV15","Biomass, periphyton (NWQL)","22.2","3","3","","0.1","1","MRL   ","Minimum reporting level","49954","Biological","Biological","Periphyton biomass","7/19/2019 11:18:00 AM"
"01170095       ","NESQA","GREEN RIVER AT STEWARTVILLE, MA","Franklin County","25","Massachusetts","MA","01700258","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","10/6/2016 12:01:00 PM","Eastern Standard Time","","Eastern Standard Time","201610060801","201610061201","","","Eastern Standard Time","K","X","9","X","Semotilus                          ","Organism, whole","-9999","Null Value","49","2","2","","","","-9999 ","Null value - no value specified.","62340","Biological","Biological","Specimen length, average","7/19/2019 10:55:00 AM"
"01170095       ","NESQA","GREEN RIVER AT STEWARTVILLE, MA","Franklin County","25","Massachusetts","MA","01700260","USGS ","Animal tissue","Any type of tissue that comprises either whole or parts ofinsects, fish, or other organisms living in an aquaticenvironment, or animals that may or may not have beencollected from a water body.","10/6/2016 1:02:00 PM","Eastern Standard Time","","Eastern Standard Time","201610060902","201610061302","","","Eastern Standard Time","K","X","9","X","Rhinichthys                        ","Organism, whole","-9999","Null Value","59","2","2","","","","-9999 ","Null value - no value specified.","62340","Biological","Biological","Specimen length, average","7/19/2019 10:55:00 AM"
