SITE_NO,RSQA_STUDY,RSQA_STUDY_DESC,STATION_NM,LAT_VA,LONG_VA,DEC_LAT_VA,DEC_LONG_VA,COORD_METH_DESC,COORD_ACY_DESC,COORD_DATUM_CD,COUNTY_NM,STATE_NM,STATE_ABBREV
5531500,MSQA,Midwest Stream-Quality Assessment,"SALT CREEK AT WESTERN SPRINGS, IL",414933,875401,41.82583333,-87.90027778,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Cook County,Illinois,IL
1189000,NESQA,Northeast Stream-Quality Assessment,"PEQUABUCK R AT FORESTVILLE, CT.",414023,725404,41.67315403,-72.90065738,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Hartford County,Connecticut,CT
5458800,MSQA,Midwest Stream-Quality Assessment,"Maynes Creek near Hampton, IA",424051,931211.7,42.68083333,-93.20325,Interpolated from Digital Map,Accurate to +/- 1 second,NAD83     ,Franklin County,Iowa,IA
2146562,SESQA,Southeast Stream-Quality Assessment,"CAMPBELL CREEK NR CHARLOTTE, NC",351112,804412,35.18666667,-80.73666667,"Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)",Accurate to +/- 1 second,NAD83     ,Mecklenburg County,North Carolina,NC
11159500,CSQA,California Stream-Quality Assessment,PAJARO R A WATSONVILLE CA,365420.2,1214506.8,36.90561111,-121.7518889,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Santa Cruz County,California,CA
3.74933E+14,CSQA,California Stream-Quality Assessment,SAN RAMON C A LA GONDA WAY A DANVILLE CA,374932.56,1220012.74,37.82571111,-122.0035389,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Contra Costa County,California,CA
11182500,CSQA,California Stream-Quality Assessment,SAN RAMON C A SAN RAMON CA,374623,1215937,37.77298302,-121.9946825,Interpolated from map,Accurate to +/- 5 seconds,NAD27     ,Contra Costa County,California,CA
11164500,CSQA,California Stream-Quality Assessment,SAN FRANCISQUITO C A STANFORD UNIVERSITY CA,372524,1221118,37.42327257,-122.1894095,Interpolated from map,Accurate to +/- 5 seconds,NAD27     ,Santa Clara County,California,CA
3.725E+14,CSQA,California Stream-Quality Assessment,MATADERO C A JOSINA AVE A PALO ALTO CA,372500.48,1220811.73,37.4168,-122.1365917,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Santa Clara County,California,CA
3.7162E+14,CSQA,California Stream-Quality Assessment,SARATOGA C A BRAEMAR DR A SARATOGA CA,371620.1,1220058.64,37.27225,-122.0162889,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Santa Clara County,California,CA
