SITE_NO,RSQA_STUDY,RSQA_STUDY_DESC,STATION_NM,LAT_VA,LONG_VA,DEC_LAT_VA,DEC_LONG_VA,COORD_METH_DESC,COORD_ACY_DESC,COORD_DATUM_CD,COUNTY_NM,STATE_NM,STATE_ABBREV
11159500,CSQA,California Stream-Quality Assessment,PAJARO R A WATSONVILLE CA,365420.2,1214506.8,36.90561111,-121.7518889,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Santa Cruz County,California,CA
3.74933E+14,CSQA,California Stream-Quality Assessment,SAN RAMON C A LA GONDA WAY A DANVILLE CA,374932.56,1220012.74,37.82571111,-122.0035389,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Contra Costa County,California,CA
11164500,CSQA,California Stream-Quality Assessment,SAN FRANCISQUITO C A STANFORD UNIVERSITY CA,372524,1221118,37.42327257,-122.1894095,Interpolated from map,Accurate to +/- 5 seconds,NAD27     ,Santa Clara County,California,CA
3.725E+14,CSQA,California Stream-Quality Assessment,MATADERO C A JOSINA AVE A PALO ALTO CA,372500.48,1220811.73,37.4168,-122.1365917,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Santa Clara County,California,CA
11152000,CSQA,California Stream-Quality Assessment,ARROYO SECO NR SOLEDAD CA,361650,1211918,36.28052076,-121.3227063,Interpolated from map,Accurate to +/- 5 seconds,NAD27     ,Monterey County,California,CA
11150500,CSQA,California Stream-Quality Assessment,SALINAS R NR BRADLEY CA,355549,1205204,35.93024343,-120.8687915,Interpolated from map,Accurate to +/- 1 second,NAD27     ,Monterey County,California,CA
3.64003E+14,CSQA,California Stream-Quality Assessment,ALISAL C A FAIRVIEW AVE NR SALINAS CA,364002.1,1213737.2,36.66725,-121.627,Interpolated from map,Accurate to +/- 1 second,NAD83     ,Monterey County,California,CA
11152650,CSQA,California Stream-Quality Assessment,RECLAMATION DITCH NR SALINAS CA,364218,1214214,36.70495861,-121.7049475,Interpolated from map,Accurate to +/- 5 seconds,NAD27     ,Monterey County,California,CA
3.65736E+14,CSQA,California Stream-Quality Assessment,PACHECO C A SAN FELIPE RD NR DUNNEVILLE CA,365736,1212508.39,36.96,-121.4189972,Interpolated from map,Accurate to +/- 1 second,NAD83     ,San Benito County,California,CA
3.65634E+14,CSQA,California Stream-Quality Assessment,TEQUISQUITA SLOUGH A SHORE RD NR DUNNEVILLE CA,365633.72,1212640.2,36.9427,-121.4445,Interpolated from map,Accurate to +/- 1 second,NAD83     ,San Benito County,California,CA
