"SITE_NO","RSQA_STUDY","RSQA_STUDY_DESC","STATION_NM","LAT_VA","LONG_VA","DEC_LAT_VA","DEC_LONG_VA","COORD_METH_DESC","COORD_ACY_DESC","COORD_DATUM_CD","COUNTY_NM","STATE_NM","STATE_ABBREV"
"01170095       ","NESQA","Northeast Stream-Quality Assessment","GREEN RIVER AT STEWARTVILLE, MA"," 424258.6  "," 0724010.3  ","42.7162777777778","-72.6695277777778","Interpolated from map","Unknown","NAD83     ","Franklin County","Massachusetts","MA"
"01193500       ","NESQA","Northeast Stream-Quality Assessment","SALMON RIVER NEAR EAST HAMPTON, CT"," 413308    "," 0722659    ","41.5523212436629","-72.4492528732144","Interpolated from map","Unknown","NAD27     ","Middlesex County","Connecticut","CT"
"01189000       ","NESQA","Northeast Stream-Quality Assessment","PEQUABUCK R AT FORESTVILLE, CT."," 414023    "," 0725404    ","41.6731540322929","-72.9006573765005","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Hartford County","Connecticut","CT"
"01362200       ","NESQA","Northeast Stream-Quality Assessment","ESOPUS CREEK AT ALLABEN NY"," 420701    "," 0742249    ","42.1169444444444","-74.3802777777778","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Ulster County","New York","NY"
"01372040       ","NESQA","Northeast Stream-Quality Assessment","CRUM ELBOW CR AT HYDE PARK NY"," 414725.99 "," 0735548.76 ","41.7905527777778","-73.9302111111111","Interpolated from Digital Map","Accurate to +/- .01 second (differentially corrected GPS)","NAD83     ","Dutchess County","New York","NY"
"01187300       ","NESQA","Northeast Stream-Quality Assessment","HUBBARD RIVER NEAR WEST HARTLAND, CT"," 420215.00 "," 0725621.58 ","42.0375","-72.9393277777778","Interpolated from Digital Map","Accurate to +/- .01 second (differentially corrected GPS)","NAD83     ","Hartford County","Connecticut","CT"
"01109000       ","NESQA","Northeast Stream-Quality Assessment","WADING RIVER NEAR NORTON, MA"," 415651    "," 0711038    ","41.9476001464146","-71.1767154983626","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Bristol County","Massachusetts","MA"
"01123000       ","NESQA","Northeast Stream-Quality Assessment","LITTLE RIVER NEAR HANOVER, CT"," 414018    "," 0720310    ","41.6717651340863","-72.0522980730556","Interpolated from map","Unknown","NAD27     ","Windham County","Connecticut","CT"
"01115110       ","NESQA","Northeast Stream-Quality Assessment","HUNTINGHOUSE BK AT ELMDALE RD AT N SCITUATE, RI"," 415048    "," 0713644    ","41.8467658931852","-71.6117311359322","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Providence County","Rhode Island","RI"
"01356190       ","NESQA","Northeast Stream-Quality Assessment","LISHA KILL NORTHWEST OF NISKAYUNA NY"," 424701    "," 0735124    ","42.7836111111111","-73.8566666666667","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Schenectady County","New York","NY"
"01101500       ","NESQA","Northeast Stream-Quality Assessment","IPSWICH RIVER AT SOUTH MIDDLETON, MA"," 423413    "," 0710146    ","42.5703719953316","-71.0289418670257","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Essex County","Massachusetts","MA"
"01073319       ","NESQA","Northeast Stream-Quality Assessment","LAMPREY RIVER AT LANGFORD ROAD, AT RAYMOND, NH"," 430229    "," 0711206    ","43.0413888888889","-71.2016666666667","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Rockingham County","New Hampshire","NH"
"01112262       ","NESQA","Northeast Stream-Quality Assessment","MILL RIVER AT SUMMER STREET NEAR BLACKSTONE, MA"," 420227    "," 0713056    ","42.0408333333333","-71.5155555555556","Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)","Accurate to +/- 1 second","NAD83     ","Worcester County","Massachusetts","MA"
"01208925       ","NESQA","Northeast Stream-Quality Assessment","MILL RIVER NEAR FAIRFIELD, CT"," 410955.71 "," 0731612.03 ","41.165475","-73.2700083333333","Interpolated from Digital Map","Accurate to +/- .01 second (differentially corrected GPS)","NAD83     ","Fairfield County","Connecticut","CT"
"01096710       ","NESQA","Northeast Stream-Quality Assessment","ASSABET RIVER AT ALLEN STREET AT NORTHBOROUGH, MA"," 421946    "," 0713748    ","42.3294444444444","-71.63","Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)","Accurate to +/- 1 second","NAD83     ","Worcester County","Massachusetts","MA"
"010965852      ","NESQA","Northeast Stream-Quality Assessment","BEAVER BROOK AT NORTH PELHAM, NH"," 424658    "," 0712115    ","42.7828663646651","-71.3536744801471","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Rockingham County","New Hampshire","NH"
"01154000       ","NESQA","Northeast Stream-Quality Assessment","SAXTONS RIVER AT SAXTONS RIVER, VT"," 430815    "," 0722919    ","43.1375777705601","-72.4881444183","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Windham County","Vermont","VT"
"01100600       ","NESQA","Northeast Stream-Quality Assessment","SHAWSHEEN RIVER NEAR WILMINGTON, MA"," 423405    "," 0711255    ","42.5681488005909","-71.2147792329115","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Middlesex County","Massachusetts","MA"
"01095220       ","NESQA","Northeast Stream-Quality Assessment","STILLWATER RIVER NEAR STERLING, MA"," 422439    "," 0714730    ","42.4109250661112","-71.7911828571609","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Worcester County","Massachusetts","MA"
"01414500       ","NESQA","Northeast Stream-Quality Assessment","MILL BROOK NEAR DUNRAVEN NY"," 420622    "," 0744350    ","42.1061111111111","-74.7305555555556","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Delaware County","New York","NY"
"0422026250     ","NESQA","Northeast Stream-Quality Assessment","NORTHRUP CREEK AT NORTH GREECE NY"," 431513    "," 0774432    ","43.2536111111111","-77.7422222222222","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Monroe County","New York","NY"
"01209700       ","NESQA","Northeast Stream-Quality Assessment","NORWALK RIVER AT SOUTH WILTON, CT"," 410949.56 "," 0732510.36 ","41.1637666666667","-73.4195444444445","Interpolated from Digital Map","Accurate to +/- .01 second (differentially corrected GPS)","NAD83     ","Fairfield County","Connecticut","CT"
"01105000       ","NESQA","Northeast Stream-Quality Assessment","NEPONSET RIVER AT NORWOOD, MA"," 421039    "," 0711205    ","42.1775987124175","-71.2008863408755","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Norfolk County","Massachusetts","MA"
"01105600       ","NESQA","Northeast Stream-Quality Assessment","OLD SWAMP RIVER NEAR SOUTH WEYMOUTH, MA"," 421125    "," 0705643    ","42.1903779140786","-70.9447679058935","Interpolated from map","Unknown","NAD27     ","Norfolk County","Massachusetts","MA"
"01103280       ","NESQA","Northeast Stream-Quality Assessment","CHARLES RIVER AT MEDWAY, MA"," 420823    "," 0712324    ","42.1398197254962","-71.3895031541128","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Norfolk County","Massachusetts","MA"
"01208869       ","NESQA","Northeast Stream-Quality Assessment","Rooster River near Fairfield, CT"," 411119    "," 0731318    ","41.1887077229293","-73.2212246195758","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Fairfield County","Connecticut","CT"
"01174565       ","NESQA","Northeast Stream-Quality Assessment","WEST BRANCH SWIFT RIVER NEAR SHUTESBURY, MA"," 422718    "," 0722256    ","42.4550890589821","-72.3817516116226","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Franklin County","Massachusetts","MA"
"01513820       ","NESQA","Northeast Stream-Quality Assessment","APALACHIN CREEK AT APALACHIN NY"," 420344    "," 0760857    ","42.0622967808243","-76.1488168457465","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Tioga County","New York","NY"
"01117800       ","NESQA","Northeast Stream-Quality Assessment","WOOD RIVER NEAR ARCADIA, RI"," 413426    "," 0714316    ","41.5739884103484","-71.7206231829513","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Washington County","Rhode Island","RI"
"01114500       ","NESQA","Northeast Stream-Quality Assessment","WOONASQUATUCKET RIVER AT CENTERDALE, RI"," 415132    "," 0712916    ","41.8589884253646","-71.4872823280115","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Providence County","Rhode Island","RI"
"01196620       ","NESQA","Northeast Stream-Quality Assessment","MILL RIVER NEAR HAMDEN, CT"," 412513.49 "," 0725409.57 ","41.4204138888889","-72.9026583333333","Interpolated from Digital Map","Accurate to +/- .01 second (differentially corrected GPS)","NAD83     ","New Haven County","Connecticut","CT"
"01105583       ","NESQA","Northeast Stream-Quality Assessment","MONATIQUOT RIVER AT EAST BRAINTREE, MA"," 421315    "," 0705843    ","42.2209330800034","-70.9781025969249","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Norfolk County","Massachusetts","MA"
"04229700       ","NESQA","Northeast Stream-Quality Assessment","SPRING BROOK AT MORAN CORNER NY"," 425736    "," 0773711    ","42.9600631364909","-77.619443712737","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Monroe County","New York","NY"
"01391000       ","NESQA","Northeast Stream-Quality Assessment","Hohokus Brook at Ho-Ho-Kus NJ"," 405952    "," 0740643    ","40.9977777777778","-74.1119444444444","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Bergen County","New Jersey","NJ"
"01114000       ","NESQA","Northeast Stream-Quality Assessment","MOSHASSUCK RIVER AT PROVIDENCE, RI"," 415002    "," 0712440    ","41.8339890034243","-71.410612084192","Interpolated from map","Unknown","NAD27     ","Providence County","Rhode Island","RI"
"01121000       ","NESQA","Northeast Stream-Quality Assessment","MOUNT HOPE RIVER NEAR WARRENVILLE, CT"," 415037    "," 0721010    ","41.8437089101554","-72.1689661695906","Interpolated from map","Unknown","NAD27     ","Windham County","Connecticut","CT"
"01115114       ","NESQA","Northeast Stream-Quality Assessment","RUSH BROOK NEAR ELMDALE RD NEAR NORTH SCITUATE, RI"," 415015    "," 0713645    ","41.8375992883109","-71.6120089058589","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Providence County","Rhode Island","RI"
"01203510       ","NESQA","Northeast Stream-Quality Assessment","POOTATUCK RIVER AT SANDY HOOK, CT"," 412509.30 "," 0731655.56 ","41.41925","-73.2821","Interpolated from Digital Map","Accurate to +/- .01 second (differentially corrected GPS)","NAD83     ","Fairfield County","Connecticut","CT"
"01154950       ","NESQA","Northeast Stream-Quality Assessment","COLD RIVER AT HIGH STREET, AT ALSTEAD, NH"," 430858    "," 0722142    ","43.1494444444444","-72.3616666666667","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Cheshire County","New Hampshire","NH"
"01390500       ","NESQA","Northeast Stream-Quality Assessment","Saddle River at Ridgewood NJ"," 405906    "," 0740526    ","40.985","-74.0905555555556","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Bergen County","New Jersey","NJ"
"01376500       ","NESQA","Northeast Stream-Quality Assessment","SAW MILL RIVER AT YONKERS NY"," 405611    "," 0735310    ","40.9363888888889","-73.8861111111111","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Westchester County","New York","NY"
"01194000       ","NESQA","Northeast Stream-Quality Assessment","EIGHTMILE RIVER AT NORTH PLAIN, CT"," 412630.01 "," 0721957.64 ","41.4416694444444","-72.3326777777778","Interpolated from Digital Map","Accurate to +/- .01 second (differentially corrected GPS)","NAD83     ","Middlesex County","Connecticut","CT"
"01121330       ","NESQA","Northeast Stream-Quality Assessment","FENTON RIVER AT MANSFIELD, CT"," 414959.50 "," 0721434.01 ","41.8331944444444","-72.2427805555556","Interpolated from Digital Map","Accurate to +/- .01 second (differentially corrected GPS)","NAD83     ","Tolland County","Connecticut","CT"
"01097270       ","NESQA","Northeast Stream-Quality Assessment","FORT POND BROOK AT RIVER ROAD NEAR SOUTH ACTON, MA"," 422734    "," 0712634    ","42.4594444444445","-71.4427777777778","Global positioning system (GPS), Standard Positioning Service (SPS) or PrecisePositioning Service (PPS)","Accurate to +/- 1 second","NAD83     ","Middlesex County","Massachusetts","MA"
"01192500       ","NESQA","Northeast Stream-Quality Assessment","HOCKANUM RIVER NEAR EAST HARTFORD, CT"," 414659    "," 0723516    ","41.7831548182598","-72.5873114414758","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Hartford County","Connecticut","CT"
"01374559       ","NESQA","Northeast Stream-Quality Assessment","WEST BRANCH CROTON RIVER AT RICHARDSVILLE NY"," 412814    "," 0734536    ","41.4705555555556","-73.76","Interpolated from map","Accurate to +/- 1 second","NAD83     ","Putnam County","New York","NY"
"01102345       ","NESQA","Northeast Stream-Quality Assessment","SAUGUS RIVER AT SAUGUS IRONWORKS AT SAUGUS, MA"," 422810    "," 0710027    ","42.4695404399052","-71.0069953655532","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Essex County","Massachusetts","MA"
"01195490       ","NESQA","Northeast Stream-Quality Assessment","QUINNIPIAC RIVER AT SOUTHINGTON, CT"," 413612.50 "," 0725259.52 ","41.6034722222222","-72.8832","Interpolated from Digital Map","Accurate to +/- .01 second (differentially corrected GPS)","NAD83     ","Hartford County","Connecticut","CT"
"01109070       ","NESQA","Northeast Stream-Quality Assessment","SEGREGANSET RIVER NEAR DIGHTON, MA"," 415025    "," 0710836    ","41.8403790266594","-71.1428239513517","Interpolated from map","Accurate to +/- 1 second","NAD27     ","Bristol County","Massachusetts","MA"
